sample,sample_name,am,ex
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,bar,an
0,part_01_vol1_p1ff,bar,vi
0,part_01_vol1_p1ff,us,us
0,part_01_vol1_p1ff,combcurl,u
0,part_01_vol1_p1ff,isup,yrir
0,part_01_vol1_p1ff,isup,ui
0,part_01_vol1_p1ff,bar,an
0,part_01_vol1_p1ff,osup,ro
0,part_01_vol1_p1ff,ra,ra
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,dsup,ud
0,part_01_vol1_p1ff,er,ir
0,part_01_vol1_p1ff,isup,ui
0,part_01_vol1_p1ff,us,us
0,part_01_vol1_p1ff,rscap,rr
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,bar,m
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,er,er
0,part_01_vol1_p1ff,isup,iki
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,nsup,an
0,part_01_vol1_p1ff,combcurl,u
0,part_01_vol1_p1ff,isup,ui
0,part_01_vol1_p1ff,ar,arr
0,part_01_vol1_p1ff,bar,ann
0,part_01_vol1_p1ff,bar,m
0,part_01_vol1_p1ff,combcurl,u
0,part_01_vol1_p1ff,bar,onu
0,part_01_vol1_p1ff,nsup,ann
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,er,er
0,part_01_vol1_p1ff,bar,a
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,ra,ra
0,part_01_vol1_p1ff,bar,a
0,part_01_vol1_p1ff,msup,{ocurl}nnu
0,part_01_vol1_p1ff,bar,en
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,osup,ro
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,asup,anna
0,part_01_vol1_p1ff,osup,on
0,part_01_vol1_p1ff,bar,an
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,ar,adr
0,part_01_vol1_p1ff,bar,onun
0,part_01_vol1_p1ff,bar,m
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,ar,adr
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,bar,an
0,part_01_vol1_p1ff,nsup,an
0,part_01_vol1_p1ff,ur,ur
0,part_01_vol1_p1ff,osup,ro
0,part_01_vol1_p1ff,msup,um
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,bar,or
0,part_01_vol1_p1ff,bar,ei
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,er,ir
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,bar,or
0,part_01_vol1_p1ff,bar,ei
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,bar,or
0,part_01_vol1_p1ff,er,ir
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,combcurl,u
0,part_01_vol1_p1ff,us,us
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,osup,on
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,esup,re
0,part_01_vol1_p1ff,er,ir
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,osup,on
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,combcurl,u
0,part_01_vol1_p1ff,osup,uo
0,part_01_vol1_p1ff,osup,on
0,part_01_vol1_p1ff,asup,anna
0,part_01_vol1_p1ff,msup,um
0,part_01_vol1_p1ff,ok,ok
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,combcurl,u
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,osup,or
0,part_01_vol1_p1ff,msup,um
0,part_01_vol1_p1ff,msup,um
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,er,er
0,part_01_vol1_p1ff,ar,ar
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,osup,oro
0,part_01_vol1_p1ff,ezh,ed
0,part_01_vol1_p1ff,bar,enn
0,part_01_vol1_p1ff,bar,an
0,part_01_vol1_p1ff,osup,ro
0,part_01_vol1_p1ff,bar,n
0,part_01_vol1_p1ff,isup,yrir
0,part_01_vol1_p1ff,osup,on
0,part_01_vol1_p1ff,bar,at
0,part_01_vol1_p1ff,er,er
0,part_01_vol1_p1ff,er,r
0,part_01_vol1_p1ff,bar,m
